Year,Entity,Gas production(m³),Gas consumption(m³),Coal production(Ton),Coal consumption(Ton),Oil production(m³),Oil consumption(m³),Gas production per capita(m³),Gas consumption per capita(m³),Coal production per capita(Ton),Coal consumption per capita(Ton),Oil production per capita(m³),Oil consumption per capita(m³),Population
1991,Italy,17390000000,50270000000,940000,20710000,4646000,107800000,304.6,880.5,0.01647,0.3627,0.08138,1.888,57090000
1992,Italy,18150000000,49850000000,714000,18390000,4820000,110000000,317.6,872.4,0.01249,0.3218,0.08434,1.925,57150000
1993,Italy,19560000000,51000000000,620000,15660000,4793000,109800000,342,891.7,0.01084,0.2738,0.08379,1.919,57200000
1994,Italy,20640000000,49510000000,267000,16670000,5008000,108500000,360.7,865.3,0.004667,0.2914,0.08754,1.897,57210000
1995,Italy,20390000000,54390000000,172000,17640000,5417000,112800000,356.6,951.3,0.003008,0.3086,0.09474,1.973,57170000
1996,Italy,20040000000,56190000000,137000,16580000,5871000,111500000,351.1,984.7,0.002401,0.2905,0.1029,1.954,57070000
1997,Italy,19270000000,57990000000,216000,16420000,6480000,112300000,338.6,1019,0.003796,0.2885,0.1139,1.973,56900000
1998,Italy,19010000000,62430000000,189000,17240000,6211000,112800000,335,1100,0.003331,0.3038,0.1095,1.988,56740000
1999,Italy,17480000000,67860000000,115000,17340000,4772000,109800000,308.5,1198,0.00203,0.306,0.08422,1.938,56660000
2000,Italy,16640000000,70750000000,140000,18040000,5226000,107400000,293.4,1248,0.00247,0.3183,0.09219,1.895,56690000
2001,Italy,15240000000,70950000000,139000,19420000,4556000,106500000,268,1247,0.002444,0.3415,0.08011,1.873,56880000
2002,Italy,14620000000,70470000000,163000,20020000,4957000,108600000,255.8,1232,0.002851,0.35,0.08669,1.899,57180000
2003,Italy,13890000000,77690000000,170300,21150000,5566000,108000000,241.2,1350,0.002959,0.3675,0.09669,1.876,57560000
2004,Italy,12960000000,80620000000,173500,24290000,6049000,106200000,223.7,1391,0.002994,0.4192,0.1044,1.833,57950000
2005,Italy,12070000000,86280000000,176600,24250000,6655000,103400000,207.1,1480,0.003031,0.4161,0.1142,1.774,58280000
2006,Italy,10980000000,84490000000,167300,24810000,6408000,103200000,187.6,1443,0.002858,0.4237,0.1095,1.762,58540000
2007,Italy,9707000000,84910000000,158000,25120000,6268000,100400000,165.2,1445,0.00269,0.4276,0.1067,1.709,58750000
2008,Italy,9256000000,84890000000,117000,24910000,5775000,96790000,157.1,1441,0.001986,0.4228,0.09801,1.643,58920000
2009,Italy,8014000000,78030000000,72000,19950000,4807000,89670000,135.6,1320,0.001218,0.3375,0.08133,1.517,59110000
2010,Italy,8407000000,83110000000,101000,21770000,5575000,89670000,141.7,1401,0.001703,0.367,0.09397,1.512,59330000
2011,Italy,8450000000,77930000000,92000,24450000,5759000,86750000,141.8,1308,0.001544,0.4102,0.09665,1.456,59590000
2012,Italy,8606000000,74920000000,80000,25190000,5863000,79560000,143.7,1251,0.001336,0.4206,0.09792,1.329,59880000
2013,Italy,7736000000,70080000000,73000,21080000,5910000,73170000,128.6,1165,0.001213,0.3503,0.09823,1.216,60170000
2014,Italy,7150000000,61920000000,86000,20110000,6172000,73530000,118.4,1025,0.001424,0.3328,0.1022,1.217,60410000
2015,Italy,6772000000,67530000000,81000,19460000,5819000,73970000,111.8,1115,0.001337,0.3212,0.09606,1.221,60580000
2016,Italy,5786000000,70920000000,0,17040000,4104000,71810000,95.37,1169,0,0.281,0.06765,1.184,60660000
2017,Italy,5539000000,75160000000,0,15200000,4501000,72250000,91.29,1239,0,0.2505,0.07418,1.191,60670000
2018,Italy,5449000000,72710000000,0,13900000,5197000,73880000,89.87,1199,0,0.2293,0.08572,1.219,60630000
2019,Italy,4804000000,74320000000,0,10360000,4510000,72880000,79.33,1227,0,0.1712,0.07448,1.204,60550000
2020,Italy,3889000000,,0,7728000,5843000,60980000,64.32,,0,0.1278,0.09664,1.009,60460000
2021,Italy,,,,,,,,,,,,,60370000
1980,Jamaica,0,0,0,0,0,3078000,0,0,0,0,0,1.423,2163000
1981,Jamaica,0,0,0,0,0,2671000,0,0,0,0,0,1.216,2197000
1982,Jamaica,0,0,0,0,0,2265000,0,0,0,0,0,1.014,2234000
1983,Jamaica,0,0,0,0,0,2381000,0,0,0,0,0,1.048,2272000
1984,Jamaica,0,0,0,0,0,2032000,0,0,0,0,0,0.8812,2306000
1985,Jamaica,0,0,0,0,0,1800000,0,0,0,0,0,0.7708,2336000
1986,Jamaica,0,0,0,0,0,1777000,0,0,0,0,0,0.7535,2358000
1987,Jamaica,0,0,0,0,0,1945000,0,0,0,0,0,0.819,2375000
1988,Jamaica,0,0,0,0,0,2183000,0,0,0,0,0,0.9138,2389000
1989,Jamaica,0,0,0,56000,0,2503000,0,0,0,0.0233,0,1.041,2403000
1990,Jamaica,0,0,0,52000,0,2625000,0,0,0,0.02149,0,1.085,2420000
1991,Jamaica,0,0,0,51000,0,2747000,0,0,0,0.02091,0,1.126,2439000
1992,Jamaica,0,0,0,66000,0,2950000,0,0,0,0.02682,0,1.199,2461000
1993,Jamaica,0,0,0,55000,0,3014000,0,0,0,0.02214,0,1.213,2485000
1994,Jamaica,0,0,0,53000,0,3142000,0,0,0,0.02112,0,1.252,2509000
1995,Jamaica,0,0,0,55000,0,3478000,0,0,0,0.02171,0,1.373,2534000
1996,Jamaica,0,0,0,64000,0,3641000,0,0,0,0.02501,0,1.423,2559000
1997,Jamaica,0,0,0,67000,0,3821000,0,0,0,0.02593,0,1.479,2584000
1998,Jamaica,0,0,0,71000,0,3867000,0,0,0,0.02722,0,1.482,2609000
1999,Jamaica,0,0,0,72000,0,3966000,0,0,0,0.02735,0,1.507,2633000
2000,Jamaica,0,0,0,62500,0,3831000,0,0,0,0.02354,0,1.443,2655000
2001,Jamaica,0,0,0,53000,0,3919000,0,0,0,0.01982,0,1.465,2675000
2002,Jamaica,0,0,0,88000,0,3898000,0,0,0,0.03268,0,1.447,2693000
2003,Jamaica,0,0,0,85000,0,4071000,0,0,0,0.03137,0,1.502,2709000
2004,Jamaica,0,0,0,66000,0,3971000,0,0,0,0.02422,0,1.457,2725000
2005,Jamaica,0,0,0,59000,0,4104000,0,0,0,0.02153,0,1.498,2740000
2006,Jamaica,0,0,0,32000,0,4710000,0,0,0,0.01162,0,1.71,2754000
2007,Jamaica,0,0,0,36000,0,4809000,0,0,0,0.013,0,1.737,2768000
2008,Jamaica,0,0,0,48000,0,4062000,0,0,0,0.01725,0,1.46,2782000
2009,Jamaica,0,0,0,51000,0,3247000,0,0,0,0.01824,0,1.161,2796000
2010,Jamaica,0,0,0,46000,0,2972000,0,0,0,0.01637,0,1.058,2810000
2011,Jamaica,0,0,0,56100,0,3128000,0,0,0,0.01985,0,1.107,2826000
2012,Jamaica,0,0,0,73480,0,2899000,0,0,0,0.02585,0,1.02,2842000
2013,Jamaica,0,0,0,89400,0,3133000,0,0,0,0.03127,0,1.096,2859000
2014,Jamaica,0,0,0,94400,0,3077000,0,0,0,0.03283,0,1.07,2875000
2015,Jamaica,0,0,0,97000,0,3137000,0,0,0,0.03355,0,1.085,2891000
2016,Jamaica,0,17210000,0,73000,0,3389000,0,5.921,0,0.02512,0,1.166,2906000
2017,Jamaica,0,197100000,0,59230,0,2762000,0,67.49,0,0.02028,0,0.9456,2921000
2018,Jamaica,0,97790000,0,63730,0,2943000,0,33.32,0,0.02172,0,1.003,2935000
2019,Jamaica,0,280200000,0,68230,0,3546000,0,95.04,0,0.02314,0,1.203,2948000
2020,Jamaica,0,693500000,0,61380,0,,0,234.2,0,0.02073,0,,2961000
2021,Jamaica,,,,,,,,,,,,,2973000
1973,Japan,,,,,,287400000,,,,,,2.624,109500000
1974,Japan,,,,,,282500000,,,,,,2.544,111000000
1975,Japan,,,,,,268300000,,,,,,2.387,112400000
1976,Japan,,,,,,280900000,,,,,,2.471,113700000
1977,Japan,,,,,,283400000,,,,,,2.468,114800000
1978,Japan,,,,,,287200000,,,,,,2.478,115900000
1979,Japan,,,,,,293300000,,,,,,2.509,116900000
1980,Japan,2209000000,25440000000,18050000,87620000,580700,288000000,18.75,215.9,0.1532,0.7437,0.004929,2.445,117800000
1981,Japan,2096000000,26060000000,17690000,96950000,406500,281500000,17.65,219.5,0.149,0.8165,0.003424,2.371,118700000
1982,Japan,2039000000,26940000000,17610000,96510000,522600,266100000,17.05,225.2,0.1472,0.8069,0.00437,2.225,119600000
1983,Japan,2096000000,28760000000,17060000,94420000,522600,255200000,17.4,238.8,0.1417,0.7841,0.00434,2.119,120400000
1984,Japan,2124000000,38680000000,16650000,106000000,464600,271000000,17.53,319.2,0.1374,0.8743,0.003833,2.236,121200000
1985,Japan,2237000000,41370000000,16380000,111400000,638800,257600000,18.36,339.4,0.1344,0.9137,0.005241,2.114,121900000
1986,Japan,2096000000,42120000000,16010000,107000000,754900,261500000,17.11,343.8,0.1307,0.873,0.006162,2.134,122500000
1987,Japan,2181000000,43480000000,13050000,106800000,696800,265200000,17.72,353.3,0.1061,0.868,0.005662,2.155,123100000
1988,Japan,2096000000,45610000000,11230000,115600000,696800,281600000,16.96,369.1,0.09084,0.9352,0.005639,2.279,123600000
1989,Japan,2011000000,48790000000,10190000,115300000,638800,293700000,16.21,393.3,0.08216,0.9295,0.005149,2.368,124100000
1990,Japan,2245000000,55440000000,7979000,122400000,638800,307500000,18.03,445.3,0.06409,0.9833,0.00513,2.47,124500000
1991,Japan,2351000000,59370000000,7930000,123900000,871000,310900000,18.82,475.2,0.06348,0.9919,0.006972,2.489,124900000
1992,Japan,2327000000,60040000000,7601000,122400000,987200,315600000,18.57,479,0.06065,0.9765,0.007877,2.518,125300000
1993,Japan,2398000000,61450000000,7206000,125500000,914000,310500000,19.08,488.8,0.05732,0.9984,0.007271,2.47,125700000
1994,Japan,2385000000,64480000000,6742000,129900000,633700,325800000,18.92,511.5,0.05349,1.03,0.005027,2.585,126100000
1995,Japan,2410000000,66800000000,6317000,135000000,638800,327700000,19.07,528.7,0.04999,1.069,0.005055,2.594,126400000
1996,Japan,2346000000,69630000000,6166000,137300000,672900,330300000,18.53,549.8,0.04869,1.084,0.005313,2.608,126600000
1997,Japan,2442000000,71880000000,3970000,140000000,570500,328100000,19.25,566.5,0.03129,1.104,0.004496,2.586,126900000
1998,Japan,2423000000,73670000000,3699000,134700000,522600,317200000,19.06,579.5,0.0291,1.06,0.004111,2.495,127100000
1999,Japan,2440000000,78120000000,3689000,140600000,459800,325000000,19.17,613.5,0.02897,1.105,0.003611,2.553,127300000
2000,Japan,2636000000,80550000000,2964000,149800000,406500,317200000,20.67,631.6,0.02324,1.174,0.003188,2.488,127500000
2001,Japan,2603000000,80220000000,2822000,154700000,367800,311700000,20.38,628.2,0.0221,1.211,0.00288,2.44,127700000
2002,Japan,2904000000,82250000000,1285000,161300000,309600,306300000,22.71,643.1,0.01005,1.261,0.002421,2.395,127900000
2003,Japan,2969000000,84980000000,1355000,168300000,290400,312600000,23.19,663.6,0.01058,1.315,0.002267,2.441,128100000
2004,Japan,3120000000,84500000000,1272000,172200000,348400,306100000,24.34,659.1,0.009922,1.343,0.002718,2.388,128200000
2005,Japan,3312000000,83860000000,1249000,178900000,382100,307300000,25.81,653.5,0.009733,1.394,0.002978,2.395,128300000
2006,Japan,3595000000,92150000000,1351000,176600000,348400,299800000,28,717.6,0.01052,1.375,0.002713,2.334,128400000
2007,Japan,3934000000,1.002E+11,1280000,183400000,329000,290000000,30.62,779.8,0.009962,1.427,0.002561,2.257,128500000
2008,Japan,3909000000,98200000000,1290000,178000000,348400,275400000,30.41,764,0.01004,1.385,0.002711,2.143,128500000
2009,Japan,3751000000,97110000000,1206000,170500000,309400,251200000,29.18,755.4,0.009381,1.326,0.002407,1.954,128600000
2010,Japan,3526000000,1.024E+11,1145000,184100000,290000,255500000,27.43,796.5,0.008908,1.432,0.002256,1.988,128500000
2011,Japan,3517000000,1.195E+11,1195000,180000000,290400,256400000,27.37,930.3,0.0093,1.401,0.00226,1.995,128500000
2012,Japan,3351000000,1.242E+11,1247000,188500000,290400,271600000,26.1,967,0.00971,1.468,0.002261,2.115,128400000
2013,Japan,3061000000,1.238E+11,1251000,199000000,270900,262600000,23.86,964.5,0.00975,1.551,0.002112,2.047,128300000
2014,Japan,2859000000,1.187E+11,1318000,195100000,275900,248900000,22.31,926.3,0.01028,1.522,0.002152,1.942,128200000
2015,Japan,2827000000,1.131E+11,1265000,192800000,246600,242000000,22.09,883.3,0.009884,1.507,0.001927,1.891,128000000
2016,Japan,2912000000,1.153E+11,1288000,192800000,227500,234300000,22.79,902.1,0.01008,1.509,0.001781,1.834,127800000
2017,Japan,3046000000,1.127E+11,1328000,194500000,212700,229100000,23.89,884,0.01041,1.525,0.001668,1.797,127500000
2018,Japan,2340000000,1.077E+11,963700,189200000,195700,223600000,18.4,846.8,0.007576,1.487,0.001538,1.758,127200000
2019,Japan,2157000000,1.021E+11,775100,187400000,239200,217100000,17,805,0.00611,1.477,0.001886,1.712,126900000
2020,Japan,1929000000,,789900,184200000,252300,193100000,15.25,,0.006245,1.457,0.001995,1.527,126500000
2021,Japan,,,,,,,,,,,,,126100000
1980,Jordan,0,0,0,0,0,2149000,0,0,0,0,0,0.9035,2378000
1981,Jordan,0,0,0,0,0,2555000,0,0,0,0,0,1.037,2465000
1982,Jordan,0,0,0,0,0,2904000,0,0,0,0,0,1.133,2564000
1983,Jordan,0,0,0,0,0,3078000,0,0,0,0,0,1.152,2671000
1984,Jordan,0,0,0,0,0,3252000,0,0,0,0,0,1.168,2784000
1985,Jordan,0,0,0,0,0,3368000,0,0,0,0,0,1.161,2900000
1986,Jordan,0,0,0,0,58070,3606000,0,0,0,0,0.01926,1.196,3015000
1987,Jordan,0,0,0,0,29040,3815000,0,0,0,0,0.009271,1.218,3132000
1988,Jordan,0,0,0,0,29040,3571000,0,0,0,0,0.008916,1.097,3257000
1989,Jordan,79300000,79300000,0,0,11610,3624000,23.33,23.33,0,0,0.003417,1.066,3399000
1990,Jordan,130000000,130000000,0,0,17420,3809000,36.45,36.45,0,0,0.004885,1.068,3566000
1991,Jordan,130000000,130000000,0,0,17420,3612000,34.57,34.57,0,0,0.004633,0.9605,3760000
1992,Jordan,150100000,150100000,0,0,,4245000,37.73,37.73,0,0,,1.067,3978000
1993,Jordan,200000000,200000000,0,0,1800,4158000,47.61,47.61,0,0,0.0004285,0.9896,4202000
1994,Jordan,280100000,280100000,0,27.31,,4739000,63.51,63.51,0,0.000006193,,1.074,4410000
1995,Jordan,290000000,290000000,0,1460,,4930000,63.2,63.2,0,0.0003182,,1.074,4589000
1996,Jordan,270000000,270000000,0,780,,5348000,57.05,57.05,0,0.0001648,,1.13,4733000
1997,Jordan,290000000,290000000,0,100,,5157000,59.82,59.82,0,0.00002063,,1.064,4849000
1998,Jordan,280000000,280000000,0,296.3,,5534000,56.64,56.64,0,0.00005993,,1.119,4944000
1999,Jordan,280000000,280000000,0,195.1,,5581000,55.65,55.65,0,0.00003878,,1.109,5032000
2000,Jordan,290000000,290000000,0,93.94,2323,5890000,56.62,56.62,0,0.00001834,0.0004535,1.15,5122000
2001,Jordan,290000000,290000000,0,68,2323,5678000,55.59,55.59,0,0.00001303,0.0004452,1.088,5217000
2002,Jordan,310000000,310000000,0,79.83,1161,5945000,58.3,58.3,0,0.00001501,0.0002184,1.118,5318000
2003,Jordan,310000000,660100000,0,1065,1161,6127000,57.05,121.5,0,0.000196,0.0002137,1.128,5434000
2004,Jordan,310000000,1410000000,0,2143,1161,5982000,55.56,252.7,0,0.000384,0.0002081,1.072,5580000
2005,Jordan,280000000,1560000000,0,1451,1161,6506000,48.57,270.6,0,0.0002516,0.0002014,1.128,5766000
2006,Jordan,320000000,2250000000,0,758.8,1161,6130000,53.42,375.6,0,0.0001266,0.0001938,1.023,5992000
2007,Jordan,250000000,2600000000,0,1522,1161,6054000,39.97,415.7,0,0.0002434,0.0001857,0.9679,6255000
2008,Jordan,210000000,2930000000,0,5618,1161,5462000,32.03,446.9,0,0.0008569,0.0001771,0.8331,6556000
2009,Jordan,220000000,3070000000,0,2166,1161,5728000,31.92,445.4,0,0.0003143,0.0001685,0.831,6893000
2010,Jordan,220000000,2740000000,0,16540,1161,6221000,30.3,377.4,0,0.002278,0.0001599,0.8567,7262000
2011,Jordan,199000000,1300000000,0,151400,1045,7622000,25.97,169.7,0,0.01975,0.0001364,0.9947,7663000
2012,Jordan,180000000,982100000,0,226000,1278,8452000,22.25,121.4,0,0.02794,0.0001579,1.045,8090000
2013,Jordan,166000000,1351000000,0,239500,1278,8072000,19.49,158.6,0,0.02811,0.00015,0.9475,8519000
2014,Jordan,145000000,448100000,0,253000,1278,8885000,16.26,50.24,0,0.02837,0.0001432,0.9962,8919000
2015,Jordan,151000000,2897000000,0,228400,1278,7723000,16.3,312.7,0,0.02465,0.0001379,0.8335,9267000
2016,Jordan,128000000,5051000000,0,203900,1278,6736000,13.4,528.6,0,0.02134,0.0001337,0.705,9554000
2017,Jordan,123000000,5230000000,0,156000,1278,6980000,12.57,534.4,0,0.01594,0.0001305,0.7133,9786000
2018,Jordan,115900000,5321000000,0,147700,1278,6419000,11.63,533.9,0,0.01483,0.0001282,0.6442,9965000
2019,Jordan,115900000,4652000000,0,103800,1278,6667000,11.47,460.5,0,0.01028,0.0001265,0.6599,10100000
2020,Jordan,,,0,218400,1161,,,,0,0.02141,0.0001138,,10200000
2021,Jordan,,,,,,,,,,,,,10270000
1992,Kazakhstan,8101000000,20100000000,126500000,101600000,25780000,23400000,496.9,1233,7.762,6.233,1.582,1.435,16300000
1993,Kazakhstan,6701000000,14800000000,107200000,84630000,23690000,19800000,414.1,914.8,6.626,5.23,1.464,1.224,16180000
1994,Kazakhstan,4501000000,15000000000,99810000,73710000,24090000,17310000,280.9,936.3,6.23,4.6,1.504,1.08,16020000
1995,Kazakhstan,4791000000,10860000000,80760000,59880000,24040000,15610000,302.5,685.6,5.098,3.781,1.518,0.9855,15840000
1996,Kazakhstan,4241000000,14440000000,74390000,53360000,26520000,14270000,271.3,923.9,4.759,3.414,1.696,0.9131,15630000
1997,Kazakhstan,6101000000,14000000000,70180000,47600000,30250000,12570000,396,908.8,4.555,3.09,1.964,0.8157,15410000
1998,Kazakhstan,5501000000,13400000000,69110000,45800000,30550000,11420000,362.1,882.3,4.55,3.015,2.011,0.752,15190000
1999,Kazakhstan,4601000000,13600000000,58030000,41060000,35060000,8519000,306.3,905.5,3.864,2.733,2.334,0.5671,15020000
2000,Kazakhstan,8901000000,13900000000,74890000,46590000,41690000,9623000,596.5,931.6,5.018,3.122,2.794,0.6448,14920000
2001,Kazakhstan,10080000000,14300000000,76570000,47080000,47320000,9163000,676.1,959.2,5.135,3.158,3.174,0.6145,14910000
2002,Kazakhstan,13100000000,14900000000,71000000,50000000,54540000,9910000,874.8,995,4.741,3.339,3.642,0.6617,14980000
2003,Kazakhstan,7197000000,9097000000,80810000,56190000,59620000,10210000,476.6,602.5,5.352,3.721,3.948,0.6759,15100000
2004,Kazakhstan,8970000000,13670000000,83070000,62150000,69870000,10800000,588.2,896.4,5.447,4.075,4.582,0.7082,15250000
2005,Kazakhstan,12110000000,11130000000,82790000,63770000,74810000,11700000,786.3,722.7,5.375,4.14,4.857,0.7598,15400000
2006,Kazakhstan,13670000000,10670000000,96670000,68640000,76270000,12210000,879.1,686.2,6.216,4.414,4.904,0.7852,15550000
2007,Kazakhstan,16470000000,20330000000,97830000,72750000,79000000,13220000,1049,1295,6.23,4.633,5.031,0.842,15700000
2008,Kazakhstan,18660000000,22460000000,98990000,84830000,78130000,15150000,1177,1416,6.241,5.348,4.925,0.9554,15860000
2009,Kazakhstan,17680000000,13310000000,100900000,76180000,84500000,11690000,1102,829.7,6.287,4.749,5.267,0.7287,16040000
2010,Kazakhstan,17580000000,11640000000,110900000,82440000,88570000,13610000,1082,716.3,6.826,5.073,5.45,0.8376,16250000
2011,Kazakhstan,19050000000,13000000000,116500000,88650000,90180000,15720000,1155,788.4,7.062,5.376,5.468,0.9531,16490000
2012,Kazakhstan,19490000000,12390000000,120500000,89970000,87950000,14270000,1164,739.7,7.195,5.371,5.25,0.8516,16750000
2013,Kazakhstan,19650000000,13530000000,119600000,89310000,91340000,14560000,1154,794.8,7.023,5.246,5.365,0.8553,17030000
2014,Kazakhstan,20150000000,13130000000,114000000,82900000,94770000,14450000,1165,758.9,6.588,4.791,5.477,0.8353,17300000
2015,Kazakhstan,21200000000,13610000000,107300000,76490000,95990000,17770000,1207,774.6,6.107,4.353,5.463,1.011,17570000
2016,Kazakhstan,21270000000,14500000000,103100000,74460000,92630000,19400000,1193,813.2,5.781,4.176,5.195,1.088,17830000
2017,Kazakhstan,22410000000,15370000000,101400000,72430000,103200000,19640000,1240,850.1,5.609,4.006,5.707,1.086,18080000
2018,Kazakhstan,25350000000,15500000000,107600000,75910000,107800000,19160000,1384,846.2,5.876,4.144,5.883,1.046,18320000
2019,Kazakhstan,25790000000,14560000000,104500000,75510000,108200000,18620000,1390,784.8,5.634,4.07,5.832,1.003,18550000
2020,Kazakhstan,,,99740000,71710000,102000000,,,,5.312,3.819,5.433,,18780000
2021,Kazakhstan,,,,,,,,,,,,,18990000
1980,Kenya,0,0,0,16000,0,2381000,0,0,0,0.0009746,0,0.145,16420000
1981,Kenya,0,0,0,91000,0,2265000,0,0,0,0.005333,0,0.1327,17060000
1982,Kenya,0,0,0,46000,0,2265000,0,0,0,0.002594,0,0.1277,17740000
1983,Kenya,0,0,0,32000,0,2149000,0,0,0,0.001736,0,0.1166,18430000
1984,Kenya,0,0,0,82000,0,2091000,0,0,0,0.004283,0,0.1092,19150000
1985,Kenya,0,0,0,90000,0,2149000,0,0,0,0.004528,0,0.1081,19880000
1986,Kenya,0,0,0,85000,0,2259000,0,0,0,0.004122,0,0.1095,20620000
1987,Kenya,0,0,0,93000,0,1992000,0,0,0,0.00435,0,0.09315,21380000
1988,Kenya,0,0,0,114000,0,2230000,0,0,0,0.005146,0,0.1007,22150000
1989,Kenya,0,0,0,132000,0,2445000,0,0,0,0.005755,0,0.1066,22940000
1990,Kenya,0,0,0,152000,0,2433000,0,0,0,0.006407,0,0.1026,23720000
1991,Kenya,0,0,0,132000,0,2137000,0,0,0,0.005383,0,0.08715,24520000
1992,Kenya,0,0,0,158000,0,2381000,0,0,0,0.006239,0,0.09401,25330000
1993,Kenya,0,0,0,131000,0,2445000,0,0,0,0.005012,0,0.09354,26140000
1994,Kenya,0,0,0,123000,0,2520000,0,0,0,0.004564,0,0.09351,26950000
1995,Kenya,0,0,0,156000,0,2683000,0,0,0,0.005618,0,0.09661,27770000
1996,Kenya,0,0,0,144000,0,2811000,0,0,0,0.005037,0,0.09831,28590000
1997,Kenya,0,0,0,147000,0,2549000,0,0,0,0.004997,0,0.08666,29420000
1998,Kenya,0,0,0,120000,0,2967000,0,0,0,0.003967,0,0.09809,30250000
1999,Kenya,0,0,0,116000,0,2996000,0,0,0,0.00373,0,0.09635,31100000
2000,Kenya,0,0,0,107000,0,3629000,0,0,0,0.003348,0,0.1135,31960000
2001,Kenya,0,0,0,107000,0,3393000,0,0,0,0.003257,0,0.1033,32850000
2002,Kenya,0,0,0,160000,0,3254000,0,0,0,0.004741,0,0.0964,33750000
2003,Kenya,0,0,0,150000,0,2907000,0,0,0,0.004325,0,0.08382,34680000
2004,Kenya,0,0,0,175000,0,3254000,0,0,0,0.004911,0,0.09131,35640000
2005,Kenya,0,0,0,145000,0,3640000,0,0,0,0.003959,0,0.09938,36620000
2006,Kenya,0,0,0,194000,0,4026000,0,0,0,0.005153,0,0.1069,37650000
2007,Kenya,0,0,0,178000,0,4026000,0,0,0,0.004599,0,0.104,38710000
2008,Kenya,0,0,0,177000,0,4120000,0,0,0,0.004448,0,0.1036,39790000
2009,Kenya,0,0,0,154000,0,4770000,0,0,0,0.003765,0,0.1166,40900000
2010,Kenya,0,0,0,149700,0,4938000,0,0,0,0.003561,0,0.1175,42030000
2011,Kenya,0,0,0,246300,0,5070000,0,0,0,0.005705,0,0.1174,43180000
2012,Kenya,0,0,0,343000,0,4741000,0,0,0,0.007735,0,0.1069,44340000
2013,Kenya,0,0,0,379000,0,5099000,0,0,0,0.008326,0,0.112,45520000
2014,Kenya,0,0,0,470000,0,5230000,0,0,0,0.01006,0,0.112,46700000
2015,Kenya,0,0,0,498000,0,6097000,0,0,0,0.0104,0,0.1274,47880000
2016,Kenya,0,0,0,491000,0,6620000,0,0,0,0.01001,0,0.135,49050000
2017,Kenya,0,0,0,463000,0,6702000,0,0,0,0.009219,0,0.1335,50220000
2018,Kenya,0,0,0,690800,0,6946000,0,0,0,0.01344,0,0.1352,51390000
2019,Kenya,0,0,0,566000,0,6762000,0,0,0,0.01077,0,0.1286,52570000
2020,Kenya,0,0,0,820900,0,,0,0,0,0.01527,0,,53770000
2021,Kenya,,,,,,,,,,,,,54990000
1980,Kiribati,0,0,0,0,0,11610,0,0,0,0,0,0.1959,59300
1981,Kiribati,0,0,0,0,0,11610,0,0,0,0,0,0.1932,60100
1982,Kiribati,0,0,0,0,0,11610,0,0,0,0,0,0.1907,60890
1983,Kiribati,0,0,0,0,0,11610,0,0,0,0,0,0.1881,61740
1984,Kiribati,0,0,0,0,0,5807,0,0,0,0,0,0.09255,62740
1985,Kiribati,0,0,0,0,0,5807,0,0,0,0,0,0.09075,63990
1986,Kiribati,0,0,0,0,0,6009,0,0,0,0,0,0.09173,65500
1987,Kiribati,0,0,0,0,0,7068,0,0,0,0,0,0.1051,67240
1988,Kiribati,0,0,0,0,0,7065,0,0,0,0,0,0.1023,69090
1989,Kiribati,0,0,0,0,0,7068,0,0,0,0,0,0.09977,70850
1990,Kiribati,0,0,0,0,0,7068,0,0,0,0,0,0.09764,72390
1991,Kiribati,0,0,0,0,0,7143,0,0,0,0,0,0.09693,73690
1992,Kiribati,0,0,0,0,0,7065,0,0,0,0,0,0.09449,74770
1993,Kiribati,0,0,0,0,0,7068,0,0,0,0,0,0.09336,75710
1994,Kiribati,0,0,0,0,0,7068,0,0,0,0,0,0.09219,76670
1995,Kiribati,0,0,0,0,0,7068,0,0,0,0,0,0.09095,77720
1996,Kiribati,0,0,0,0,0,7065,0,0,0,0,0,0.08954,78900
1997,Kiribati,0,0,0,0,0,7068,0,0,0,0,0,0.08815,80190
1998,Kiribati,0,0,0,0,0,7068,0,0,0,0,0,0.08667,81560
1999,Kiribati,0,0,0,0,0,7069,0,0,0,0,0,0.0852,82970
2000,Kiribati,0,0,0,0,0,13900,0,0,0,0,0,0.1646,84400
2001,Kiribati,0,0,0,0,0,11900,0,0,0,0,0,0.1387,85840
2002,Kiribati,0,0,0,0,0,17400,0,0,0,0,0,0.1993,87310
2003,Kiribati,0,0,0,0,0,18170,0,0,0,0,0,0.2045,88840
2004,Kiribati,0,0,0,0,0,19460,0,0,0,0,0,0.215,90500
2005,Kiribati,0,0,0,0,0,25400,0,0,0,0,0,0.2751,92320
2006,Kiribati,0,0,0,0,0,28170,0,0,0,0,0,0.2986,94340
2007,Kiribati,0,0,0,0,0,25850,0,0,0,0,0,0.2678,96530
2008,Kiribati,0,0,0,0,0,28800,0,0,0,0,0,0.2916,98760
2009,Kiribati,0,0,0,0,0,25210,0,0,0,0,0,0.2498,100900
2010,Kiribati,0,0,0,0,0,25040,0,0,0,0,0,0.2433,102900
2011,Kiribati,0,0,0,0,0,23230,0,0,0,0,0,0.2218,104700
2012,Kiribati,0,0,0,0,0,22880,0,0,0,0,0,0.2151,106400
2013,Kiribati,0,0,0,0,0,23260,0,0,0,0,0,0.2156,107900
2014,Kiribati,0,0,0,0,0,23200,0,0,0,0,0,0.212,109400
2015,Kiribati,0,0,0,0,0,24380,0,0,0,0,0,0.2198,110900
